Comment,Designator,Footprint,LCSC,Quantity
100nF,"C1,C2,C3,C4",C_0402_1005Metric,C1525,4
10uF,C5,C_0402_1005Metric,C15525,1
330,R1,R_0402_1005Metric,C21190,1
Conn_01x06,J1,Hirose_FH12-6S-0.5SH_1x06-1MP_P0.50mm_Horizontal,C202118,1
SK6812MINI-E,"D1,D2,D3,D4",LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,C5378731,4
