Comment,Designator,Footprint,LCSC,Quantity
Conn_01x06,J1,Hirose_FH12-6S-0.5SH_1x06-1MP_P0.50mm_Horizontal,C202118,1
D_Small,D47,D_SOD-123,C81598,1
