Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D47,D_Small,D_SOD-123,41.2,-35.3375,180.0,bottom
J1,Conn_01x06,Hirose_FH12-6S-0.5SH_1x06-1MP_P0.50mm_Horizontal,33.813749,-42.8625,270.0,bottom
